VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,date,DATE,PRCP,TMIN,TMAX
1,2/2/16 23:09,2/2/16 23:15,1,1.4,-73.95883942,40.77499771,1,-73.97368622,40.76347351,1,6.5,0.5,0.5,1.56,0,9.36,2/2/16,2/2/16 0:00,0,38,50
2,1/15/16 20:44,1/15/16 20:54,2,1.33,-73.97776031,40.75327301,1,-73.99966431,40.76129532,2,8,0.5,0.5,0,0,9.3,1/15/16,1/15/16 0:00,0,34,51
2,1/12/16 8:41,1/12/16 8:51,3,1.82,-73.97235107,40.75981903,1,-73.98864746,40.73688126,1,9,0,0.5,1.96,0,11.76,1/12/16,1/12/16 0:00,0,25,44
2,3/10/16 15:27,3/10/16 15:38,1,1.29,-73.95754242,40.76993561,1,-73.97361755,40.76483536,2,8.5,0,0.5,0,0,9.3,3/10/16,3/10/16 0:00,0,63,79
1,3/14/16 13:40,3/14/16 14:38,2,16,-73.7833786,40.64868164,2,-74.0161972,40.71129608,1,52,0,0.5,10.55,0,63.35,3/14/16,3/14/16 0:00,0.29,40,51
2,3/7/16 16:07,3/7/16 16:16,1,1.27,-73.95816803,40.76874924,1,-73.95554352,40.78229141,1,8,1,0.5,2.45,0,12.25,3/7/16,3/7/16 0:00,0,36,60
2,2/7/16 5:59,2/7/16 6:02,1,0.7,-73.93781281,40.79719162,1,-73.94949341,40.8020401,1,4.5,0,0.5,1.06,0,6.36,2/7/16,2/7/16 0:00,0,33,47
2,3/12/16 11:22,3/12/16 11:30,2,1.2,-73.97548676,40.75224686,1,-73.99205017,40.74970627,2,7,0,0.5,0,0,7.8,3/12/16,3/12/16 0:00,0,40,59
2,3/5/16 22:43,3/5/16 22:50,2,1.25,-74.00650024,40.74446869,1,-73.98786926,40.74063873,1,7,0.5,0.5,1.66,0,9.96,3/5/16,3/5/16 0:00,0,28,41
1,2/19/16 22:28,2/19/16 22:45,2,2.5,-74.00388336,40.73164368,1,-73.97787476,40.75462723,2,12.5,0.5,0.5,0,0,13.8,2/19/16,2/19/16 0:00,0,24,39
1,3/1/16 18:01,3/1/16 18:16,2,2.6,-73.96665192,40.79376221,1,-73.98773956,40.76148224,2,12,1,0.5,0,0,13.8,3/1/16,3/1/16 0:00,0,39,52
1,1/4/16 2:26,1/4/16 2:32,1,0.8,-73.99964905,40.7339325,1,-73.98577881,40.72925949,1,5.5,0.5,0.5,1,0,7.8,1/4/16,1/4/16 0:00,0,14,36
1,2/5/16 22:16,2/5/16 22:24,1,1.3,-74.01013184,40.72016144,1,-74.00354004,40.73406601,1,7.5,0.5,0.5,1.2,0,10,2/5/16,2/5/16 0:00,0.53,31,44
1,2/4/16 22:21,2/4/16 22:29,1,1.6,-73.97763062,40.78672791,1,-73.95595551,40.78179932,1,8,0.5,0.5,1.4,0,10.7,2/4/16,2/4/16 0:00,0,44,59
2,3/7/16 21:56,3/7/16 22:13,1,9.55,-73.87111664,40.77388382,1,-73.9635849,40.76191711,1,27.5,0.5,0.5,8.58,5.54,42.92,3/7/16,3/7/16 0:00,0,36,60
2,1/3/16 11:37,1/3/16 11:47,1,4.54,-73.97977448,40.73931122,1,-74.00984192,40.70565033,1,15,0,0.5,2,0,17.8,1/3/16,1/3/16 0:00,0,35,45
1,3/1/16 2:55,3/1/16 3:07,1,4.3,-73.95419312,40.76427078,1,-73.92384338,40.77447128,1,14.5,0.5,0.5,3.15,0,18.95,3/1/16,3/1/16 0:00,0,39,52
2,3/14/16 7:12,3/14/16 7:38,4,4.64,-73.95378113,40.82213211,1,-73.98870087,40.76410675,2,19,0,0.5,0,0,19.8,3/14/16,3/14/16 0:00,0.29,40,51
2,3/15/16 10:00,3/15/16 10:28,1,8.69,-73.99434662,40.75088882,1,-73.93978882,40.84720993,2,29,0,0.5,0,0,29.8,3/15/16,3/15/16 0:00,0,44,57
1,2/4/16 16:22,2/4/16 17:05,2,9.5,-73.86338043,40.76962662,1,-73.98231506,40.75703049,2,37,1,0.5,0,5.54,44.34,2/4/16,2/4/16 0:00,0,44,59
